vacancy,min_salary,max_salary,currency,url,source,employer
Младший (Junior) PHP программист,,,,https://spb.hh.ru/vacancy/39688284?query=sql,https://www.hh.ru, amoCRM
Frontend-разработчик,,,,https://spb.hh.ru/vacancy/39702478?query=sql,https://www.hh.ru,ООО АБР Тех
Java junior программист,66000.0,100000.0,руб.,https://spb.hh.ru/vacancy/37516457?query=sql,https://www.hh.ru," «ОФИСМАГ», Корпоративное направление"
.net разработчик,,,,https://spb.hh.ru/vacancy/38742159?query=sql,https://www.hh.ru,ООО Maxima
Младший разработчик MS SQL (junior ms sql developer),,,,https://spb.hh.ru/vacancy/39919083?query=sql,https://www.hh.ru, Мария-Ра
Разработчик C# (backend) mid/senior,56000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39994306?query=sql,https://www.hh.ru, DFAKTOR
Web-аналитик МТС Финтех,,,,https://spb.hh.ru/vacancy/39988700?query=sql,https://www.hh.ru,ПАО «МТС» 
QA инженер (ручное тестирование),80000.0,140000.0,руб.,https://spb.hh.ru/vacancy/40000594?query=sql,https://www.hh.ru,ООО Рондем
Стажер направления Разработка информационных систем,,,,https://spb.hh.ru/vacancy/40004760?query=sql,https://www.hh.ru,АО Банк ДОМ.РФ
Программист 1C,,,,https://spb.hh.ru/vacancy/39884995?query=sql,https://www.hh.ru,ЗАО Техностром
Java-разработчик,,,,https://spb.hh.ru/vacancy/40008352?query=sql,https://www.hh.ru, Лига Цифровой Экономики
JAVA Разработчик,,,,https://spb.hh.ru/vacancy/37791495?query=sql,https://www.hh.ru,АО Городской Центр Бронирования и Туризма
Full stack (.Net and Angular) developer,4000.0,5000.0, USD,https://spb.hh.ru/vacancy/39791306?query=sql,https://www.hh.ru,ООО ОнТаргет ЛАБС
Java-developer,,,,https://spb.hh.ru/vacancy/39592714?query=sql,https://www.hh.ru, Группа компаний BMSGroup
Системный администратор,,,,https://spb.hh.ru/vacancy/39617870?query=sql,https://www.hh.ru, ПродТранс
PHP-разработчик,,,,https://spb.hh.ru/vacancy/39781051?query=sql,https://www.hh.ru,ООО Броневик
Perl-программист,,,,https://spb.hh.ru/vacancy/39177847?query=sql,https://www.hh.ru, 220 Вольт
Программист-старжер OutSystems,50000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39948591?query=sql,https://www.hh.ru,ООО Дженикс
Стажер-разработчик IBM Cognos,,,,https://spb.hh.ru/vacancy/39342677?query=sql,https://www.hh.ru, Техносерв Консалтинг
Системный администратор,40000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39827484?query=sql,https://www.hh.ru,ООО О-Портал
Разработчик DWH,,,,https://spb.hh.ru/vacancy/39222778?query=sql,https://www.hh.ru, Сбер для экспертов
Разработчик NodeJS,90000.0,140000.0,руб.,https://spb.hh.ru/vacancy/37182455?query=sql,https://www.hh.ru,АО Информтехника
Веб-аналитик,,,,https://spb.hh.ru/vacancy/39400830?query=sql,https://www.hh.ru, ЕВРАЗ
Бизнес-аналитик,,,,https://spb.hh.ru/vacancy/39706128?query=sql,https://www.hh.ru,ООО Коркласс
Аналитик,45000.0,58000.0,руб.,https://spb.hh.ru/vacancy/39971729?query=sql,https://www.hh.ru,ПАО Ростелеком
Аналитик,45000.0,58000.0,руб.,https://spb.hh.ru/vacancy/39971859?query=sql,https://www.hh.ru,ПАО Ростелеком
Веб-разработчик,,,,https://spb.hh.ru/vacancy/39077647?query=sql,https://www.hh.ru,ООО Правое дело
Программист Битрикс 24,,,,https://spb.hh.ru/vacancy/39835566?query=sql,https://www.hh.ru,ООО Газпром бурение
Инженер-программист (Java),,,,https://spb.hh.ru/vacancy/39462988?query=sql,https://www.hh.ru," А1. Информационные технологии, телеком"
"Ведущий программист С#, MS Dynamics",180000.0,230000.0,руб.,https://spb.hh.ru/vacancy/39844070?query=sql,https://www.hh.ru, Национальный исследовательский университет Высшая школа экономики
Системный администратор,,,,https://spb.hh.ru/vacancy/39558685?query=sql,https://www.hh.ru,ООО Взлет-МСК
Middle C# Developer,,,,https://spb.hh.ru/vacancy/37477930?query=sql,https://www.hh.ru,ООО Элисофт
Тестировщик,,,,https://spb.hh.ru/vacancy/39659659?query=sql,https://www.hh.ru, Directum
Программист 1C,80000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39974339?query=sql,https://www.hh.ru,ООО КРОКМАРТ
Программист 1С,,,,https://spb.hh.ru/vacancy/38603341?query=sql,https://www.hh.ru, Mercury. Fashion-Бутики
Программист,,,,https://spb.hh.ru/vacancy/39861654?query=sql,https://www.hh.ru,"ООО Орион, официальный дилер Mercedes Benz"
Разработчик Process Mining (ETL / SQL) Celonis,,,,https://spb.hh.ru/vacancy/39899456?query=sql,https://www.hh.ru,АО Рамакс Интернейшнл
Системный аналитик (банковское ПО),,,,https://spb.hh.ru/vacancy/39995476?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Веб-разработчик,150000.0,300000.0, KZT,https://spb.hh.ru/vacancy/39805931?query=sql,https://www.hh.ru,ТОО Simetria (Симметрия)
Junior/ Middle ASP.NET Developer,,,,https://spb.hh.ru/vacancy/39160589?query=sql,https://www.hh.ru, Murano Software
Аналитик (Моделирование/Скоринг),,,,https://spb.hh.ru/vacancy/35606831?query=sql,https://www.hh.ru,АО ДОМ.РФ
Full Stack разработчик,160000.0,250000.0,руб.,https://spb.hh.ru/vacancy/39482966?query=sql,https://www.hh.ru, Фураева Екатерина Валерьевна
Full Stack разработчик,160000.0,250000.0,руб.,https://spb.hh.ru/vacancy/39482967?query=sql,https://www.hh.ru, Фураева Екатерина Валерьевна
Системный администратор,,,,https://spb.hh.ru/vacancy/39761447?query=sql,https://www.hh.ru,ООО ТрансПак
Аналитик,,,,https://spb.hh.ru/vacancy/40004084?query=sql,https://www.hh.ru,ЗАО Группа компаний С7
Бизнес-аналитик (DWH),,,,https://spb.hh.ru/vacancy/36864890?query=sql,https://www.hh.ru,АО ДОМ.РФ
Разработчик-программист C#,,,,https://spb.hh.ru/vacancy/35331331?query=sql,https://www.hh.ru, Областное государственное бюджетное учреждение Челябинский региональный центр навигационно-информационных технологий
Senior Data Engineer / Data Analyst,,,,https://spb.hh.ru/vacancy/39942034?query=sql,https://www.hh.ru," Flare Build Systems, Inc."
Программист 1С,,,,https://spb.hh.ru/vacancy/39720571?query=sql,https://www.hh.ru, Leader Team
Frontend-разработчик,150000.0,200000.0,руб.,https://spb.hh.ru/vacancy/39180597?query=sql,https://www.hh.ru, Deliver
Разработчик .NET,,,,https://spb.hh.ru/vacancy/38888365?query=sql,https://www.hh.ru, GMCS
JAVA/Scala + hadoop developer (DWH) (Удаленно),,,,https://spb.hh.ru/vacancy/39018473?query=sql,https://www.hh.ru," «РОСБАНК, Societe Generale Group», с опытом работы"
Специалист по сопровождению информационных систем,,,,https://spb.hh.ru/vacancy/39477209?query=sql,https://www.hh.ru, IT2G
Full Stack Developer,,,,https://spb.hh.ru/vacancy/39852458?query=sql,https://www.hh.ru, Human Capital Ukraine / Human Capital International
Аналитик бизнес-процессов,,,,https://spb.hh.ru/vacancy/38723568?query=sql,https://www.hh.ru, Сеть магазинов цифровой и бытовой техники DNS
Программист 1С,,,,https://spb.hh.ru/vacancy/39509296?query=sql,https://www.hh.ru, KuchenLand
Системный-аналитик / Бизнес-аналитик,,,,https://spb.hh.ru/vacancy/38025849?query=sql,https://www.hh.ru, Wellink
Аналитик (Биллинг),,,,https://spb.hh.ru/vacancy/39981716?query=sql,https://www.hh.ru, Триколор
Администратор MSSQL,,,,https://spb.hh.ru/vacancy/38318965?query=sql,https://www.hh.ru, Связной
Программист 1C,,,,https://spb.hh.ru/vacancy/39154259?query=sql,https://www.hh.ru,ООО АйтиСмартФинанс
Бізнес-аналітик (Логістика),,,,https://spb.hh.ru/vacancy/39220134?query=sql,https://www.hh.ru, Rozetka.ua
Аналитик Soft Collection,,,,https://spb.hh.ru/vacancy/39943080?query=sql,https://www.hh.ru,АО Банк ЦентрКредит
