vacancy,min_salary,max_salary,currency,url,source,employer
Ведущий системный аналитик (BI),,,,https://spb.hh.ru/vacancy/39981225?query=sql,https://www.hh.ru, ЛАНИТ-Технологии
Программист Axapta,,,,https://spb.hh.ru/vacancy/39960102?query=sql,https://www.hh.ru, Treolan (ГК ЛАНИТ)
Разработчик базы данных,130000.0,200000.0,руб.,https://spb.hh.ru/vacancy/39541424?query=sql,https://www.hh.ru,ООО БОЛЬШАЯ ТРОЙКА
Программист PHP,,,,https://spb.hh.ru/vacancy/39381212?query=sql,https://www.hh.ru," «РОСБАНК, Societe Generale Group», с опытом работы"
Backend (Data) разработчик,,,,https://spb.hh.ru/vacancy/38741774?query=sql,https://www.hh.ru, 101XP
Backend-разработчик Python,140000.0,160000.0,руб.,https://spb.hh.ru/vacancy/39679111?query=sql,https://www.hh.ru,ООО Digital Reputation
Java разработчик middle,,,,https://spb.hh.ru/vacancy/39803720?query=sql,https://www.hh.ru, Roonyx
Web-программист (Frontend),45000.0,70000.0,руб.,https://spb.hh.ru/vacancy/39444733?query=sql,https://www.hh.ru," Сибирикс, SCRUM-студия"
Системный аналитик,,,,https://spb.hh.ru/vacancy/39877023?query=sql,https://www.hh.ru,ООО Парадокс
Аналитик данных,,,,https://spb.hh.ru/vacancy/39965798?query=sql,https://www.hh.ru, Ozon Офис и Коммерция
Администратор СУБД Oracle,,,,https://spb.hh.ru/vacancy/36129391?query=sql,https://www.hh.ru, СИГМА
Middle PHP-разработчик / Web-программист (Bitrix Framework),40000.0,65000.0,руб.,https://spb.hh.ru/vacancy/39513856?query=sql,https://www.hh.ru, Dizlab. Digital агентство
Middle PHP-разработчик / Web-программист (Bitrix Framework),40000.0,65000.0,руб.,https://spb.hh.ru/vacancy/39513857?query=sql,https://www.hh.ru, Dizlab. Digital агентство
Middle PHP-разработчик / Web-программист (Bitrix Framework),40000.0,65000.0,руб.,https://spb.hh.ru/vacancy/39513858?query=sql,https://www.hh.ru, Dizlab. Digital агентство
Middle PHP-разработчик / Web-программист (Bitrix Framework),40000.0,65000.0,руб.,https://spb.hh.ru/vacancy/39815771?query=sql,https://www.hh.ru, Dizlab. Digital агентство
Программист,,,,https://spb.hh.ru/vacancy/38172940?query=sql,https://www.hh.ru, АНОО Областная гимназия им. Примакова
Тестировщик,,,,https://spb.hh.ru/vacancy/39476015?query=sql,https://www.hh.ru, Билайн
Java-разработчик,,,,https://spb.hh.ru/vacancy/36701624?query=sql,https://www.hh.ru,АО ОТ-ОЙЛ
Администратор баз данных и серверов приложений Oracle,,,,https://spb.hh.ru/vacancy/39954679?query=sql,https://www.hh.ru, ФосАгро
Программист-разработчик,,,,https://spb.hh.ru/vacancy/39820820?query=sql,https://www.hh.ru,ИП Tech-code
Web-аналитик,,,,https://spb.hh.ru/vacancy/39989459?query=sql,https://www.hh.ru, Авито
Программист (Академгородок),,,,https://spb.hh.ru/vacancy/39504766?query=sql,https://www.hh.ru, Группа компаний ЦРМ
.Net developer in EU,2500.0,4200.0, EUR,https://spb.hh.ru/vacancy/39757283?query=sql,https://www.hh.ru,ООО ОнТаргет ЛАБС
Web разработчик (PHP) Full Stack middle\senior,80000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39973710?query=sql,https://www.hh.ru, Электронное издательство ЮРАЙТ
Программист (платформа Terrasoft),,,,https://spb.hh.ru/vacancy/39926602?query=sql,https://www.hh.ru, Комус
Системный аналитик DWH,,,,https://spb.hh.ru/vacancy/38935592?query=sql,https://www.hh.ru,АО РБ Текнолоджи
Web разработчик (JavaScript/Fullstack),,,,https://spb.hh.ru/vacancy/39646075?query=sql,https://www.hh.ru,ООО i-Digital
Системный Аналитик в DWH,,,,https://spb.hh.ru/vacancy/37796219?query=sql,https://www.hh.ru," «РОСБАНК, Societe Generale Group», с опытом работы"
Database Administrator/ Senior Oracle DBA,,,,https://spb.hh.ru/vacancy/39632410?query=sql,https://www.hh.ru,ОАО Банковский процессинговый центр
Математик-программист,,,,https://spb.hh.ru/vacancy/39965986?query=sql,https://www.hh.ru,АО НефтеТрансСервис
Разработчик хранилища данных и систем отчетности (DWH),,,,https://spb.hh.ru/vacancy/38309576?query=sql,https://www.hh.ru, МигКредит
Аналитик данных,,,,https://spb.hh.ru/vacancy/38767385?query=sql,https://www.hh.ru,ООО Регистратор доменных имен РЕГ.РУ
Аналитик данных,,,,https://spb.hh.ru/vacancy/39160403?query=sql,https://www.hh.ru,ООО Регистратор доменных имен РЕГ.РУ
Эксперт по работе с БД,,,,https://spb.hh.ru/vacancy/39752339?query=sql,https://www.hh.ru, Билайн
Front-end разработчик,,,,https://spb.hh.ru/vacancy/39172971?query=sql,https://www.hh.ru," ЭВРИКА, Санкт-Петербург"
Стажер в отдел бизнес - процессов,,,,https://spb.hh.ru/vacancy/39984666?query=sql,https://www.hh.ru," А1. Информационные технологии, телеком"
Разработчик .NET/ SharePoint,,,,https://spb.hh.ru/vacancy/40007115?query=sql,https://www.hh.ru, ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ
Big Data Engineer,,,,https://spb.hh.ru/vacancy/39897123?query=sql,https://www.hh.ru,ООО lifecell
Архитектор Microsoft BI (DWH),,,,https://spb.hh.ru/vacancy/37797172?query=sql,https://www.hh.ru, Navicon
Разработчик К2,,,,https://spb.hh.ru/vacancy/39615631?query=sql,https://www.hh.ru," FOZZY GROUP, Корпорация"
Java разработчик,100000.0,180000.0,руб.,https://spb.hh.ru/vacancy/39947497?query=sql,https://www.hh.ru, Brooma
Senior Java-разработчик (удаленно),,,,https://spb.hh.ru/vacancy/39877213?query=sql,https://www.hh.ru, RedLab
Программист C#/С++,,,,https://spb.hh.ru/vacancy/36167521?query=sql,https://www.hh.ru, Группа Компаний Стилсофт
Web-программист (по проектам),30000.0,70000.0,руб.,https://spb.hh.ru/vacancy/39971061?query=sql,https://www.hh.ru, SaitCraft
Разработчик .NET/ SharePoint,,,,https://spb.hh.ru/vacancy/40006778?query=sql,https://www.hh.ru, ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ
.NET разработчик,,,,https://spb.hh.ru/vacancy/39573165?query=sql,https://www.hh.ru,УП Адани
Аналитик данных,,,,https://spb.hh.ru/vacancy/39344655?query=sql,https://www.hh.ru, АК БАРС ДОМ
Разработчик .NET/C#,,,,https://spb.hh.ru/vacancy/38525991?query=sql,https://www.hh.ru, 2ГИС
Junior Java разработчик (Разработка решения Service Desk),,,,https://spb.hh.ru/vacancy/39065737?query=sql,https://www.hh.ru, NAUMEN
Системный аналитик (SelfService решения),,,,https://spb.hh.ru/vacancy/38091962?query=sql,https://www.hh.ru," Лента, федеральная розничная сеть, IT "
Системный аналитик (удаленно),,,,https://spb.hh.ru/vacancy/37633791?query=sql,https://www.hh.ru, ГК InnoSTage
Системный аналитик (удаленно),,,,https://spb.hh.ru/vacancy/39974547?query=sql,https://www.hh.ru, БАРС Груп
Системный аналитик (удаленно),,,,https://spb.hh.ru/vacancy/39976718?query=sql,https://www.hh.ru, БАРС Груп
BI аналитик (Tableau),,,,https://spb.hh.ru/vacancy/39068463?query=sql,https://www.hh.ru, Руформ
Python Developer,,,,https://spb.hh.ru/vacancy/39753606?query=sql,https://www.hh.ru, Софтмакс системы телеметрии
QA Engineer,,,,https://spb.hh.ru/vacancy/39490430?query=sql,https://www.hh.ru,ООО ИП Global Solutions
Аналитик данных,,,,https://spb.hh.ru/vacancy/39691093?query=sql,https://www.hh.ru," СИБУР, Группа компаний"
Data engineer/ETL-специалист со знанием Java,,,,https://spb.hh.ru/vacancy/39662042?query=sql,https://www.hh.ru,ООО Мирамедикс
Senior/ middle asp.net developer / Ведущий asp.net разработчик (можно удаленно),120000.0,170000.0,руб.,https://spb.hh.ru/vacancy/39556557?query=sql,https://www.hh.ru,АО ОТС
"PHP-программист (Junior, Laravel)",,,,https://spb.hh.ru/vacancy/39450542?query=sql,https://www.hh.ru, Студия Флаг
Backend разработчик,200000.0,350000.0,руб.,https://spb.hh.ru/vacancy/39327279?query=sql,https://www.hh.ru, Asgardia
PHP-программист / разработчик,30000.0,60000.0,руб.,https://spb.hh.ru/vacancy/39861960?query=sql,https://www.hh.ru, ПроМедиа
Веб-программист,,,,https://spb.hh.ru/vacancy/38305119?query=sql,https://www.hh.ru,"ООО АВТОРУСЬ, группа компаний"
Ведущий программист Java,80.0,130000.0,руб.,https://spb.hh.ru/vacancy/34731544?query=sql,https://www.hh.ru," ЭВРИКА, Санкт-Петербург"
Аналитик/Ведущий аналитик (SQL/Tableau),,,,https://spb.hh.ru/vacancy/39922806?query=sql,https://www.hh.ru,ООО ЧЕСТНОЕ СЛОВО
Системный аналитик/ Бизнес аналитик,,,,https://spb.hh.ru/vacancy/39834120?query=sql,https://www.hh.ru,ООО Цифровые привычки
Data Engineer,2000.0,4000.0, USD,https://spb.hh.ru/vacancy/39722527?query=sql,https://www.hh.ru, Sprout Therapy
"Senior/middle asp.net developer (Ведущий asp.net разработчик), удаленно",120000.0,180000.0,руб.,https://spb.hh.ru/vacancy/39937545?query=sql,https://www.hh.ru,АО ОТС
Программист PHP (fullstack),,,,https://spb.hh.ru/vacancy/39534473?query=sql,https://www.hh.ru, Система Бронирования
Аналитик компьютерных систем,,,,https://spb.hh.ru/vacancy/39735834?query=sql,https://www.hh.ru, COMFY
Web-аналитик (FinServices),,,,https://spb.hh.ru/vacancy/39979683?query=sql,https://www.hh.ru, Ozon Офис и Коммерция
Ведущий программист 1С,,,,https://spb.hh.ru/vacancy/38931172?query=sql,https://www.hh.ru, Группа компаний ITPS
Senior C# developer / C# разработчик (Senior),,,,https://spb.hh.ru/vacancy/39890259?query=sql,https://www.hh.ru,ООО ДескАлертс
Delphi Developer,,,,https://spb.hh.ru/vacancy/39944556?query=sql,https://www.hh.ru, Sibedge
Программист 1С,,,,https://spb.hh.ru/vacancy/39620789?query=sql,https://www.hh.ru, PepsiCo Украина
QA Engineer,,,,https://spb.hh.ru/vacancy/39752974?query=sql,https://www.hh.ru, Лайт Вел Организейшн
Математик-программист,,,,https://spb.hh.ru/vacancy/39966017?query=sql,https://www.hh.ru,АО НефтеТрансСервис
Инженер по автоматизации тестирования backend (Python) офис/удалённо,,,,https://spb.hh.ru/vacancy/40004455?query=sql,https://www.hh.ru, ivi
Программист-аналитик Python (Senior),,,,https://spb.hh.ru/vacancy/38767775?query=sql,https://www.hh.ru,ООО Регистратор доменных имен РЕГ.РУ
Программист 1C,,,,https://spb.hh.ru/vacancy/39948906?query=sql,https://www.hh.ru, Активлизинг
Back-end разработчик / PHP программист,100000.0,250000.0,руб.,https://spb.hh.ru/vacancy/39754785?query=sql,https://www.hh.ru, Social Media Holding
PHP-разработчик,,,,https://spb.hh.ru/vacancy/39557913?query=sql,https://www.hh.ru,ООО Паблишер
"Программист SQL, специалист группы сопровождения биллинга",,,,https://spb.hh.ru/vacancy/39928730?query=sql,https://www.hh.ru,ООО К-телеком
"Backend developer (PHP), проєкт Orders",,,,https://spb.hh.ru/vacancy/39222666?query=sql,https://www.hh.ru, Rozetka.ua
Python QA automation middle,,,,https://spb.hh.ru/vacancy/39715779?query=sql,https://www.hh.ru, СберЗвук
Web-аналитик,,,,https://spb.hh.ru/vacancy/36990940?query=sql,https://www.hh.ru, Комус
Разработчик,,,,https://spb.hh.ru/vacancy/39631109?query=sql,https://www.hh.ru,АО Сбербанк АСТ
Python-разработчик,2000.0,3000.0, USD,https://spb.hh.ru/vacancy/39888538?query=sql,https://www.hh.ru, ASD Technologies
Data Engineer,,,,https://spb.hh.ru/vacancy/39307030?query=sql,https://www.hh.ru, Skillbox
Эксперт группы поддержки баз данных Oracle,,,,https://spb.hh.ru/vacancy/39707233?query=sql,https://www.hh.ru, Diamond Personnel R&C
Программист-Разработчик Банковских систем (ЦФТ-Банк),150000.0,250000.0,руб.,https://spb.hh.ru/vacancy/39529929?query=sql,https://www.hh.ru,ООО Динамика
PHP-разработчик,20000.0,50000.0,руб.,https://spb.hh.ru/vacancy/39540366?query=sql,https://www.hh.ru, Eclipse Digital Studio
Python-разработчик,,,,https://spb.hh.ru/vacancy/39635171?query=sql,https://www.hh.ru, ASD Technologies
Python-разработчик,,,,https://spb.hh.ru/vacancy/39635172?query=sql,https://www.hh.ru, ASD Technologies
Python-разработчик,,,,https://spb.hh.ru/vacancy/39635173?query=sql,https://www.hh.ru, ASD Technologies
Программист F3Tail,,,,https://spb.hh.ru/vacancy/38935968?query=sql,https://www.hh.ru,АО Спарго Технологии
Старший программист Java,90000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39524921?query=sql,https://www.hh.ru," ЭВРИКА, Санкт-Петербург"
Разработчик баз данных,40000.0,100000.0,руб.,https://spb.hh.ru/vacancy/34553912?query=sql,https://www.hh.ru, Компания maxim
Разработчик баз данных,70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/36730427?query=sql,https://www.hh.ru, Компания maxim
Ведущий разработчик .net [id15315],,,,https://spb.hh.ru/vacancy/39990216?query=sql,https://www.hh.ru, ПАО «Газпром нефть»
Инженер-программист C#,,,,https://spb.hh.ru/vacancy/38685931?query=sql,https://www.hh.ru, ЦРТ | Группа компаний
Программист С#,,,,https://spb.hh.ru/vacancy/38241189?query=sql,https://www.hh.ru, АСКОН
Аналитик больших данных,,,,https://spb.hh.ru/vacancy/38431375?query=sql,https://www.hh.ru," Лента, федеральная розничная сеть, Офис"
Php-разработчик (Web-программист),,,,https://spb.hh.ru/vacancy/39931286?query=sql,https://www.hh.ru,ООО Гигабайт
Frontend Developer ReactJS/NodeJS,,,,https://spb.hh.ru/vacancy/39542735?query=sql,https://www.hh.ru,ООО IKIT Lab
Системный аналитик,,,,https://spb.hh.ru/vacancy/30185978?query=sql,https://www.hh.ru, Европлан
C# разработчик (.Net),,,,https://spb.hh.ru/vacancy/39984481?query=sql,https://www.hh.ru,ООО Hawk House Integration
Главный специалист-разработчик ПО (Oracle),,,,https://spb.hh.ru/vacancy/38523461?query=sql,https://www.hh.ru, ИнтэлЛекс
Системный аналитик,,,,https://spb.hh.ru/vacancy/39996141?query=sql,https://www.hh.ru,АО Научно-производственная фирма Микран
Программист JavaScript,,,,https://spb.hh.ru/vacancy/39890975?query=sql,https://www.hh.ru, Комус
Инженер-программист,70000.0,90000.0,руб.,https://spb.hh.ru/vacancy/39690192?query=sql,https://www.hh.ru, Амплитуда НТЦ
Ведущий разработчик C#,,,,https://spb.hh.ru/vacancy/39076807?query=sql,https://www.hh.ru,ООО Пэйсенд Процессинг
Программист 1С,,,,https://spb.hh.ru/vacancy/39727923?query=sql,https://www.hh.ru," Эспокада, компания"
Аналитик BI,,,,https://spb.hh.ru/vacancy/38841550?query=sql,https://www.hh.ru," Риалвеб, Интернет-агентство"
Веб-разработчик (fullstack),,,,https://spb.hh.ru/vacancy/39844951?query=sql,https://www.hh.ru, Pluritech
Формирование Web-команды,100000.0,200000.0,руб.,https://spb.hh.ru/vacancy/40008694?query=sql,https://www.hh.ru,ООО МАКС
Аналитик DWH,,,,https://spb.hh.ru/vacancy/39860162?query=sql,https://www.hh.ru, Diamond Personnel R&C
Программист PHP,,,,https://spb.hh.ru/vacancy/38291129?query=sql,https://www.hh.ru, Юг Руси
Системный аналитик,,,,https://spb.hh.ru/vacancy/36865114?query=sql,https://www.hh.ru,ООО Домиленд
Разработчик C#/.Net Core/WPF,,,,https://spb.hh.ru/vacancy/38584669?query=sql,https://www.hh.ru, Russ Outdoor
Разработчик C#/.Net Core/WPF,,,,https://spb.hh.ru/vacancy/38584670?query=sql,https://www.hh.ru, Russ Outdoor
Разработчик C#/.Net Core/WPF,,,,https://spb.hh.ru/vacancy/39721271?query=sql,https://www.hh.ru, Russ Outdoor
Разработчик RS Bank,,,,https://spb.hh.ru/vacancy/39357814?query=sql,https://www.hh.ru, Русфинанс Банк (Societe Generale Group)
"Инженер-программист (Embedded, C/C++)",,,,https://spb.hh.ru/vacancy/39730544?query=sql,https://www.hh.ru, InfiNet Wireless
C# Developer,,,,https://spb.hh.ru/vacancy/39687661?query=sql,https://www.hh.ru,ООО Retail Rocket
Программист JavaScript,,,,https://spb.hh.ru/vacancy/33801195?query=sql,https://www.hh.ru, Аспект
Программист (F3Tail),,,,https://spb.hh.ru/vacancy/38727925?query=sql,https://www.hh.ru,АО Спарго Технологии
Программист (F3Tail),,,,https://spb.hh.ru/vacancy/38727926?query=sql,https://www.hh.ru,АО Спарго Технологии
Программист (F3Tail),,,,https://spb.hh.ru/vacancy/38727927?query=sql,https://www.hh.ru,АО Спарго Технологии
Системный аналитик DWH,,,,https://spb.hh.ru/vacancy/32365107?query=sql,https://www.hh.ru, Связной
BI Analyst,,,,https://spb.hh.ru/vacancy/39974901?query=sql,https://www.hh.ru, Tango Me
Тестировщик,,,,https://spb.hh.ru/vacancy/39756375?query=sql,https://www.hh.ru, Европлан
Product / Web Analyst,,,,https://spb.hh.ru/vacancy/39249002?query=sql,https://www.hh.ru, Rozetka.ua
C# developer,,,,https://spb.hh.ru/vacancy/36365370?query=sql,https://www.hh.ru,ООО АйБэа
Тестировщик (QA),,,,https://spb.hh.ru/vacancy/39933891?query=sql,https://www.hh.ru,ООО Астрон
Ведущий разработчик .net,130000.0,200000.0,руб.,https://spb.hh.ru/vacancy/39657327?query=sql,https://www.hh.ru,ЗАО ТК Яршинторг
Ведущий системный аналитик,160000.0,210000.0,руб.,https://spb.hh.ru/vacancy/39350912?query=sql,https://www.hh.ru,ООО Адакта
Senior C# Developer,1500.0,2500.0, USD,https://spb.hh.ru/vacancy/38839131?query=sql,https://www.hh.ru, МАКС СОФТ ОсОО
Инженер-программист,50000.0,55000.0,руб.,https://spb.hh.ru/vacancy/39856880?query=sql,https://www.hh.ru, ГАУЗ ПК МИАЦ
PHP-разработчик,,,,https://spb.hh.ru/vacancy/39963662?query=sql,https://www.hh.ru,ООО Расчетные системы
PHP-программист,,,,https://spb.hh.ru/vacancy/38319667?query=sql,https://www.hh.ru," Единая электронная торговая площадка, АО (группа ВТБ)"
PHP-программист,,,,https://spb.hh.ru/vacancy/38319701?query=sql,https://www.hh.ru," Единая электронная торговая площадка, АО (группа ВТБ)"
Автор студенческих работ по информационным технологиям (программирование),,,,https://spb.hh.ru/vacancy/39840184?query=sql,https://www.hh.ru, Zaochnik.com
Аналитик SAS,,,,https://spb.hh.ru/vacancy/39726368?query=sql,https://www.hh.ru,ПАО Совкомбанк
Разработчик баз данных (ЦФТ-Банк),,,,https://spb.hh.ru/vacancy/38052812?query=sql,https://www.hh.ru, Центр финансовых технологий
Программист .net,140000.0,170000.0,руб.,https://spb.hh.ru/vacancy/38799758?query=sql,https://www.hh.ru, Московский аэропорт Домодедово
Программист информационной системы (Java),,,,https://spb.hh.ru/vacancy/39555957?query=sql,https://www.hh.ru, СевСтар
Back-end разработчик,,,,https://spb.hh.ru/vacancy/39512703?query=sql,https://www.hh.ru,ООО Спора
Аналитик BI,,,,https://spb.hh.ru/vacancy/39951984?query=sql,https://www.hh.ru,ООО ОТР
BI-аналитик,,,,https://spb.hh.ru/vacancy/39974312?query=sql,https://www.hh.ru,ООО Генерация (Generation Invest)
"Team Lead (#C++, #Linux, #HPC)",300000.0,350000.0,руб.,https://spb.hh.ru/vacancy/39103361?query=sql,https://www.hh.ru,ООО Знаменка Капитал
Аналитик данных,,,,https://spb.hh.ru/vacancy/39724768?query=sql,https://www.hh.ru, Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области
Аналитик данных,,,,https://spb.hh.ru/vacancy/39350896?query=sql,https://www.hh.ru,АО ВЕРТЕКС
PHP-программист (Senior),130000.0,200000.0,руб.,https://spb.hh.ru/vacancy/37850553?query=sql,https://www.hh.ru,"ООО Egamings, филиал г. Псков"
Старший аналитик данных,,,,https://spb.hh.ru/vacancy/39690182?query=sql,https://www.hh.ru, Метр Квадратный
Программист 1С,,,,https://spb.hh.ru/vacancy/39701754?query=sql,https://www.hh.ru,АО Егорьевск-обувь
Python Developer,,,,https://spb.hh.ru/vacancy/39984817?query=sql,https://www.hh.ru, Checkaso
WEB разработчик (удаленная работа),,,,https://spb.hh.ru/vacancy/39927578?query=sql,https://www.hh.ru,ООО Хьюнет
Программист,100000.0,140000.0,руб.,https://spb.hh.ru/vacancy/39759422?query=sql,https://www.hh.ru,"АО ПАРИ, АО Страховая компания"
Аналитик данных,,,,https://spb.hh.ru/vacancy/38378386?query=sql,https://www.hh.ru, ГБУ МО МОМИАЦ
Senior C# developer remote / C# разработчик (Senior) удаленно,,,,https://spb.hh.ru/vacancy/39750988?query=sql,https://www.hh.ru,ООО ДескАлертс
Системный аналитик,,,,https://spb.hh.ru/vacancy/39823503?query=sql,https://www.hh.ru, NETRIKA
Старший Backend разработчик C# .NET Core,,,,https://spb.hh.ru/vacancy/38807463?query=sql,https://www.hh.ru," СИБУР, Группа компаний"
Аналитик,,,,https://spb.hh.ru/vacancy/39641132?query=sql,https://www.hh.ru,ООО БОЛЕАР
Аналитик BI,,,,https://spb.hh.ru/vacancy/39628066?query=sql,https://www.hh.ru, DPD в России
Java-разработчик,,,,https://spb.hh.ru/vacancy/39734587?query=sql,https://www.hh.ru, ТРИНИТИ
Программист 1С,,,,https://spb.hh.ru/vacancy/39459150?query=sql,https://www.hh.ru,ООО ЕСМ
Ведущий программист CRM Microsoft Dynamics,,,,https://spb.hh.ru/vacancy/39762863?query=sql,https://www.hh.ru,ООО СЗ Самолет Девелопмент
Бизнес-аналитик (IT),,,,https://spb.hh.ru/vacancy/39769239?query=sql,https://www.hh.ru,ООО ДИДЖИ ТЕХ
Senior Python developer,,,,https://spb.hh.ru/vacancy/39527586?query=sql,https://www.hh.ru, Укрэнерго
Программист 1С,,,,https://spb.hh.ru/vacancy/39976020?query=sql,https://www.hh.ru," РусАэро, Центр обеспечения полетов"
Data Analyst / Ведущий аналитик,,,,https://spb.hh.ru/vacancy/36648199?query=sql,https://www.hh.ru, Incrdbl Mobile Entertainment
Системный аналитик DWH,,,,https://spb.hh.ru/vacancy/39161899?query=sql,https://www.hh.ru, Сбер для экспертов
Программист 1С,,,,https://spb.hh.ru/vacancy/39620767?query=sql,https://www.hh.ru, PepsiCo Украина
Java-разработчик,,,,https://spb.hh.ru/vacancy/39564422?query=sql,https://www.hh.ru,ТОО ICORE-Integration
Тестировщик ПО,60000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39714041?query=sql,https://www.hh.ru,АО Мегаполис
Системный аналитик,,,,https://spb.hh.ru/vacancy/39458087?query=sql,https://www.hh.ru,ООО Прогрессивные информационные технологии
Разработчик ASP.NET,,,,https://spb.hh.ru/vacancy/38161590?query=sql,https://www.hh.ru, Профессиональный Партнер
Python Developer,,,,https://spb.hh.ru/vacancy/39514962?query=sql,https://www.hh.ru,ООО Телеформ ИС
DevOps-инженер (удалённо),,,,https://spb.hh.ru/vacancy/39842634?query=sql,https://www.hh.ru, Аккорд Диджитал
Системный администратор (удаленно),,,,https://spb.hh.ru/vacancy/39811928?query=sql,https://www.hh.ru, Си-Эн-Эс
Программист PHP,70000.0,75000.0,руб.,https://spb.hh.ru/vacancy/39194753?query=sql,https://www.hh.ru, Финансовый университет при Правительстве РФ
Ведущий программист,,,,https://spb.hh.ru/vacancy/39700408?query=sql,https://www.hh.ru,ООО БАНК НЕЙВА
Аналитик данных,,,,https://spb.hh.ru/vacancy/39556172?query=sql,https://www.hh.ru,АО Полимербыт
Бизнес/Системный аналитик,,,,https://spb.hh.ru/vacancy/39964422?query=sql,https://www.hh.ru,ИП Гаврилюк А. Е.
Веб-программист,,,,https://spb.hh.ru/vacancy/38513234?query=sql,https://www.hh.ru,АО Обуховский завод
Разработчик хранилищ данных,,,,https://spb.hh.ru/vacancy/40003279?query=sql,https://www.hh.ru, ВТБ Капитал
Тестировщик (web) / QA Engineer,40000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39457134?query=sql,https://www.hh.ru,ООО ИДАГРУПП
Senior Python разработчик (Django),150000.0,200000.0,руб.,https://spb.hh.ru/vacancy/40011386?query=sql,https://www.hh.ru, Вивсяная Инна
Специалист по сопровождению АБС Диасофт,,,,https://spb.hh.ru/vacancy/39707192?query=sql,https://www.hh.ru,АО Консервативный коммерческий банк
Аналитик DWH витрин BI,,,,https://spb.hh.ru/vacancy/38290167?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Аналитик,,,,https://spb.hh.ru/vacancy/39523991?query=sql,https://www.hh.ru, ДомКлик
Data Engineer,,,,https://spb.hh.ru/vacancy/39114216?query=sql,https://www.hh.ru, Fortis
Администратор Oracle,,,,https://spb.hh.ru/vacancy/40013249?query=sql,https://www.hh.ru," Ренессанс Жизнь, Страхование Жизни"
Ведущий ИТ аналитик,,,,https://spb.hh.ru/vacancy/38361894?query=sql,https://www.hh.ru, Финансовое Агентство по Сбору Платежей
Аналитик данных,,,,https://spb.hh.ru/vacancy/39997224?query=sql,https://www.hh.ru, Softline
Backend Developer C#/.NET,90000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39452501?query=sql,https://www.hh.ru, Энерджи Софт
Разработчик java (с опытом в Hadoop),,,,https://spb.hh.ru/vacancy/39683073?query=sql,https://www.hh.ru, ФОРС
Разработчик C#,,,,https://spb.hh.ru/vacancy/23863827?query=sql,https://www.hh.ru, АСКОН
Программист 1С в офис,,,,https://spb.hh.ru/vacancy/39675810?query=sql,https://www.hh.ru,ООО Инноватор Косметикс
Ведущий программист Java (Backеnd),,,,https://spb.hh.ru/vacancy/39490945?query=sql,https://www.hh.ru,АО «НПП ТЕЛДА»
.Net разработчик,,,,https://spb.hh.ru/vacancy/39966561?query=sql,https://www.hh.ru, Netex24
Программист 1С,,,,https://spb.hh.ru/vacancy/39778842?query=sql,https://www.hh.ru, ВІДЖИ ТРЕЙД
"Full Stack React, Java Developer",,,,https://spb.hh.ru/vacancy/39602812?query=sql,https://www.hh.ru,ООО Flashphoner
ETL/BI разработчик (удаленно),,,,https://spb.hh.ru/vacancy/39645465?query=sql,https://www.hh.ru," «РОСБАНК, Societe Generale Group», с опытом работы"
Web-программист 1C Битрикс (Web-разработчик удаленно),60000.0,90000.0,руб.,https://spb.hh.ru/vacancy/39824569?query=sql,https://www.hh.ru,ООО Фортекс-Сервис
Тестировщик программного обеспечения,50000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39552509?query=sql,https://www.hh.ru,ООО Спутник
Data-аналитик,,,,https://spb.hh.ru/vacancy/40000089?query=sql,https://www.hh.ru, Сбер для экспертов
Data Engineer [id64881],,,,https://spb.hh.ru/vacancy/39145580?query=sql,https://www.hh.ru, ПАО «Газпром нефть»
Разработчик баз данных,,,,https://spb.hh.ru/vacancy/39958435?query=sql,https://www.hh.ru,ООО Ак Барс Цифровые Технологии
QA engineer,,,,https://spb.hh.ru/vacancy/39219712?query=sql,https://www.hh.ru, Rozetka.ua
Frontend-разработчик,,,,https://spb.hh.ru/vacancy/39524785?query=sql,https://www.hh.ru,ООО Свекор
Системный администратор баз данных (СУБД),,,,https://spb.hh.ru/vacancy/40009284?query=sql,https://www.hh.ru, Ростелеком - Центры обработки данных
Web-аналитик,,,,https://spb.hh.ru/vacancy/39989715?query=sql,https://www.hh.ru, Hunt For You
Аналитик BI,,,,https://spb.hh.ru/vacancy/39491428?query=sql,https://www.hh.ru, Black&Yellow
Программист 1С (удаленно),,,,https://spb.hh.ru/vacancy/39952935?query=sql,https://www.hh.ru,ООО Воентелеком-Сервис
Backend-разработчик / Программист PHP / Программист Битрикс,,,,https://spb.hh.ru/vacancy/39564698?query=sql,https://www.hh.ru, Ивит
Программист 1С,,,,https://spb.hh.ru/vacancy/37450023?query=sql,https://www.hh.ru, Delta Medical Украина
